SampleName	R1	R2
101-1023	101-1023_S27_L001_R1_001.fastq.gz	101-1023_S27_L001_R2_001.fastq.gz
185-1135	185-1135_S26_L001_R1_001.fastq.gz	185-1135_S26_L001_R2_001.fastq.gz
7185	7185_S25_L001_R1_001.fastq.gz	7185_S25_L001_R2_001.fastq.gz
Neg	Neg_S29_L001_R1_001.fastq.gz	Neg_S29_L001_R2_001.fastq.gz
NTC	NTC_S28_L001_R1_001.fastq.gz	NTC_S28_L001_R2_001.fastq.gz
pool10	pool10_S15_L001_R1_001.fastq.gz	pool10_S15_L001_R2_001.fastq.gz
pool11	pool11_S14_L001_R1_001.fastq.gz	pool11_S14_L001_R2_001.fastq.gz
pool12	pool12_S13_L001_R1_001.fastq.gz	pool12_S13_L001_R2_001.fastq.gz
pool13	pool13_S12_L001_R1_001.fastq.gz	pool13_S12_L001_R2_001.fastq.gz
pool14b	pool14b_S11_L001_R1_001.fastq.gz	pool14b_S11_L001_R2_001.fastq.gz
pool15	pool15_S10_L001_R1_001.fastq.gz	pool15_S10_L001_R2_001.fastq.gz
pool16	pool16_S9_L001_R1_001.fastq.gz	pool16_S9_L001_R2_001.fastq.gz
pool17	pool17_S24_L001_R1_001.fastq.gz	pool17_S24_L001_R2_001.fastq.gz
pool18	pool18_S23_L001_R1_001.fastq.gz	pool18_S23_L001_R2_001.fastq.gz
pool19	pool19_S22_L001_R1_001.fastq.gz	pool19_S22_L001_R2_001.fastq.gz
Pool1	Pool1_S30_L001_R1_001.fastq.gz	Pool1_S30_L001_R2_001.fastq.gz
pool1	pool1_S8_L001_R1_001.fastq.gz	pool1_S8_L001_R2_001.fastq.gz
pool20	pool20_S21_L001_R1_001.fastq.gz	pool20_S21_L001_R2_001.fastq.gz
pool21	pool21_S20_L001_R1_001.fastq.gz	pool21_S20_L001_R2_001.fastq.gz
pool22	pool22_S19_L001_R1_001.fastq.gz	pool22_S19_L001_R2_001.fastq.gz
pool23	pool23_S18_L001_R1_001.fastq.gz	pool23_S18_L001_R2_001.fastq.gz
pool24	pool24_S17_L001_R1_001.fastq.gz	pool24_S17_L001_R2_001.fastq.gz
pool2	pool2_S7_L001_R1_001.fastq.gz	pool2_S7_L001_R2_001.fastq.gz
pool3	pool3_S6_L001_R1_001.fastq.gz	pool3_S6_L001_R2_001.fastq.gz
pool4	pool4_S5_L001_R1_001.fastq.gz	pool4_S5_L001_R2_001.fastq.gz
pool5	pool5_S4_L001_R1_001.fastq.gz	pool5_S4_L001_R2_001.fastq.gz
pool6	pool6_S3_L001_R1_001.fastq.gz	pool6_S3_L001_R2_001.fastq.gz
pool7	pool7_S2_L001_R1_001.fastq.gz	pool7_S2_L001_R2_001.fastq.gz
pool8	pool8_S1_L001_R1_001.fastq.gz	pool8_S1_L001_R2_001.fastq.gz
pool9	pool9_S16_L001_R1_001.fastq.gz	pool9_S16_L001_R2_001.fastq.gz
PoolMM	PoolMM_S32_L001_R1_001.fastq.gz	PoolMM_S32_L001_R2_001.fastq.gz
PoolM	PoolM_S31_L001_R1_001.fastq.gz	PoolM_S31_L001_R2_001.fastq.gz
Undetermined	Undetermined_S0_L001_R1_001.fastq.gz	Undetermined_S0_L001_R2_001.fastq.gz
